#species id	cell-line names	
species:ncbi:9606	8-MG-BA celllines|8-MG-BA cell|8-MG-BA cells|8-MG-BA cell-lines|8-MG-BA cell-line|8-MG-BA cellline
species:ncbi:9606	MUTZ-1 cell-lines|MUTZ-1 cell|MUTZ-1 celllines|MUTZ-1 cell-line|MUTZ-1 cellline|MUTZ-1 cells
species:ncbi:9606	IGF019/85 celllines|IGF019/85 cell|IGF019/85 cells|IGF019/85 cellline|IGF019/85 cell-line|IGF019/85 cell-lines
species:ncbi:9606	IGF014/78 celllines|IGF014/78 cells|IGF014/78 cell|IGF014/78 cellline|IGF014/78 cell-line|IGF014/78 cell-lines
species:ncbi:9606	IGF038/97 celllines|IGF038/97 cellline|IGF038/97 cell-lines|IGF038/97 cell-line|IGF038/97 cells|IGF038/97 cell
species:ncbi:10090	L164.11 cell-line|L164.11 cellline|L164.11 celllines|L164.11 cells|L164.11 cell-lines|L164.11 cell
species:ncbi:9606	IGF021/88 cells|IGF021/88 cell-line|IGF021/88 celllines|IGF021/88 cell|IGF021/88 cell-lines|IGF021/88 cellline
species:ncbi:10116	IA-Xs SBR celllines|IA-Xs SBR cell-line|IA-Xs SBR cell|IA-Xs SBR cells|IA-Xs SBR cell-lines|IA-Xs SBR cellline
species:ncbi:9606	MUTZ-2 cell-line|MUTZ-2 cell-lines|MUTZ-2 cellline|MUTZ-2 cell|MUTZ-2 cells|MUTZ-2 celllines
species:ncbi:10090	9 BG 5 cell-line|9 BG 5 celllines|9 BG 5 cells|9 BG 5 cell|9 BG 5 cellline|9 BG 5 cell-lines
species:ncbi:9606	IGF006/87 cell-line|IGF006/87 cellline|IGF006/87 cell|IGF006/87 cells|IGF006/87 celllines|IGF006/87 cell-lines
species:ncbi:9606	AGLCL celllines|AGLCL cell-lines|AGLCL cellline|AGLCL cells|AGLCL cell-line|AGLCL cell
species:ncbi:9606	IGF041/87 cells|IGF041/87 celllines|IGF041/87 cell-lines|IGF041/87 cell|IGF041/87 cell-line|IGF041/87 cellline
species:ncbi:9606	IGF001/97 cell-line|IGF001/97 cells|IGF001/97 cell-lines|IGF001/97 cellline|IGF001/97 celllines|IGF001/97 cell
species:ncbi:9606	IGF033/93 cell-lines|IGF033/93 cell-line|IGF033/93 cell|IGF033/93 celllines|IGF033/93 cells|IGF033/93 cellline
species:ncbi:9606	IGF019/84 cells|IGF019/84 cellline|IGF019/84 cell-lines|IGF019/84 cell-line|IGF019/84 celllines|IGF019/84 cell
species:ncbi:9606	IGF038/98 celllines|IGF038/98 cell-line|IGF038/98 cell|IGF038/98 cell-lines|IGF038/98 cellline|IGF038/98 cells
species:ncbi:9606	IGF011/87 cellline|IGF011/87 cell-lines|IGF011/87 cell|IGF011/87 cells|IGF011/87 cell-line|IGF011/87 celllines
species:ncbi:9606	N-C96 celllines|N-C96 cell-lines|N-C96 cells|N-C96 cell|N-C96 cell-line|N-C96 cellline
species:ncbi:9606	IGF041/84 cell|IGF041/84 cell-line|IGF041/84 celllines|IGF041/84 cellline|IGF041/84 cells|IGF041/84 cell-lines
species:ncbi:9606	IGF016/98 celllines|IGF016/98 cell-line|IGF016/98 cells|IGF016/98 cell-lines|IGF016/98 cellline|IGF016/98 cell
species:ncbi:9606	I2586 cell-line|I2586 cell-lines|I2586 cellline|I2586 cell|I2586 cells|I2586 celllines
species:ncbi:10090	WEHI-3B cell-lines|WEHI-3B cellline|WEHI-3B cell-line|WEHI-3B cell|WEHI-3B cells|WEHI-3B celllines
species:ncbi:9606	IGF091/79 cell-line|IGF091/79 cell-lines|IGF091/79 cells|IGF091/79 cell|IGF091/79 celllines|IGF091/79 cellline
species:ncbi:10090	M4 cell-line|M4 cellline|M4 cell|M4 celllines|M4 cell-lines|M4 cells
species:ncbi:9606	IGF038/99 cellline|IGF038/99 cell-lines|IGF038/99 celllines|IGF038/99 cell|IGF038/99 cell-line|IGF038/99 cells
species:ncbi:9606	L90 celllines|L90 cell|L90 cell-lines|L90 cells|L90 cell-line|L90 cellline
species:ncbi:9606	IGF009/84 cell-line|IGF009/84 celllines|IGF009/84 cellline|IGF009/84 cell-lines|IGF009/84 cells|IGF009/84 cell
species:ncbi:9606	MP 5 cell|MP 5 celllines|MP 5 cells|MP 5 cell-lines|MP 5 cell-line|MP 5 cellline
species:ncbi:9606	IGF041/85 cellline|IGF041/85 cells|IGF041/85 cell-line|IGF041/85 cell|IGF041/85 cell-lines|IGF041/85 celllines
species:ncbi:9606	IGF011/86 cellline|IGF011/86 celllines|IGF011/86 cell|IGF011/86 cell-lines|IGF011/86 cells|IGF011/86 cell-line
species:ncbi:9606	SK MES 1 cell|SK MES 1 cell-lines|SK MES 1 cells|SK MES 1 cell-line|SK MES 1 cellline|SK MES 1 celllines
species:ncbi:9606	MES-SA/Dx5 cell-line|MES-SA/Dx5 cell-lines|MES-SA/Dx5 cells|MES-SA/Dx5 celllines|MES-SA/Dx5 cell|MES-SA/Dx5 cellline
species:ncbi:9606	IGF016/97 cell-lines|IGF016/97 cellline|IGF016/97 cell|IGF016/97 celllines|IGF016/97 cell-line|IGF016/97 cells
species:ncbi:9606	IGF091/81 cells|IGF091/81 cellline|IGF091/81 cell-line|IGF091/81 celllines|IGF091/81 cell-lines|IGF091/81 cell
species:ncbi:9606	IGF021/91 cellline|IGF021/91 celllines|IGF021/91 cell|IGF021/91 cell-lines|IGF021/91 cell-line|IGF021/91 cells
species:ncbi:9606	L89P cell-line|L89P celllines|L89P cell-lines|L89P cells|L89P cellline|L89P cell
species:ncbi:9606	S-C93 cell-lines|S-C93 cell|S-C93 cellline|S-C93 cell-line|S-C93 celllines|S-C93 cells
species:ncbi:9606	F2586 cell|F2586 cell-lines|F2586 cellline|F2586 cells|F2586 celllines|F2586 cell-line
species:ncbi:9606	IGF009/82 cell-lines|IGF009/82 cell-line|IGF009/82 cell|IGF009/82 celllines|IGF009/82 cells|IGF009/82 cellline
species:ncbi:9913	CPA cell-lines|CPA celllines|CPA cellline|CPA cells|CPA cell|CPA cell-line
species:ncbi:9606	CPC-N cell-lines|CPC-N cell-line|CPC-N cell|CPC-N celllines|CPC-N cells|CPC-N cellline
species:ncbi:9606	IGF011/90 celllines|IGF011/90 cell-lines|IGF011/90 cell|IGF011/90 cells|IGF011/90 cell-line|IGF011/90 cellline
species:ncbi:9606	IGF006/84 celllines|IGF006/84 cell|IGF006/84 cell-line|IGF006/84 cells|IGF006/84 cellline|IGF006/84 cell-lines
species:ncbi:9606	MP 6 cell|MP 6 cells|MP 6 celllines|MP 6 cell-lines|MP 6 cell-line|MP 6 cellline
species:ncbi:9606	IGF053/86 cell-lines|IGF053/86 cell-line|IGF053/86 cells|IGF053/86 cell|IGF053/86 celllines|IGF053/86 cellline
species:ncbi:9606	IGF091/76 cells|IGF091/76 cell-lines|IGF091/76 cell|IGF091/76 cell-line|IGF091/76 celllines|IGF091/76 cellline
species:ncbi:9606	T-F96 cells|T-F96 celllines|T-F96 cell|T-F96 cell-lines|T-F96 cell-line|T-F96 cellline
species:ncbi:9606	IGF009/81 cell-lines|IGF009/81 cell-line|IGF009/81 cellline|IGF009/81 cells|IGF009/81 cell|IGF009/81 celllines
species:ncbi:9606	S-C88 cell-line|S-C88 cell|S-C88 cells|S-C88 celllines|S-C88 cell-lines|S-C88 cellline
species:ncbi:9606	L89M cell-line|L89M celllines|L89M cellline|L89M cells|L89M cell|L89M cell-lines
